"","...1","country","iso3c","date","first_doses","second_doses","third_doses"
"1",1,"United Kingdom","GBR",2021-01-10,0,0,0
"2",2,"United Kingdom","GBR",2021-01-11,0,0,0
"3",3,"United Kingdom","GBR",2021-01-12,0,0,0
"4",4,"United Kingdom","GBR",2021-01-13,0,0,0
"5",5,"United Kingdom","GBR",2021-01-14,0,0,0
"6",6,"United Kingdom","GBR",2021-01-15,0,0,0
"7",7,"United Kingdom","GBR",2021-01-16,0,0,0
"8",8,"United Kingdom","GBR",2021-01-17,0,0,0
"9",9,"United Kingdom","GBR",2021-01-18,0,0,0
"10",10,"United Kingdom","GBR",2021-01-19,0,0,0
"11",11,"United Kingdom","GBR",2021-01-20,0,0,0
"12",12,"United Kingdom","GBR",2021-01-21,0,0,0
"13",13,"United Kingdom","GBR",2021-01-22,0,0,0
"14",14,"United Kingdom","GBR",2021-01-23,0,0,0
"15",15,"United Kingdom","GBR",2021-01-24,0,0,0
"16",16,"United Kingdom","GBR",2021-01-25,0,0,0
"17",17,"United Kingdom","GBR",2021-01-26,0,0,0
"18",18,"United Kingdom","GBR",2021-01-27,0,0,0
"19",19,"United Kingdom","GBR",2021-01-28,0,0,0
"20",20,"United Kingdom","GBR",2021-01-29,0,0,0
"21",21,"United Kingdom","GBR",2021-01-30,0,0,0
"22",22,"United Kingdom","GBR",2021-01-31,0,0,0
"23",23,"United Kingdom","GBR",2021-02-01,0,0,0
"24",24,"United Kingdom","GBR",2021-02-02,0,0,0
"25",25,"United Kingdom","GBR",2021-02-03,0,0,0
"26",26,"United Kingdom","GBR",2021-02-04,0,0,0
"27",27,"United Kingdom","GBR",2021-02-05,0,0,0
"28",28,"United Kingdom","GBR",2021-02-06,0,0,0
"29",29,"United Kingdom","GBR",2021-02-07,0,0,0
"30",30,"United Kingdom","GBR",2021-02-08,0,0,0
"31",31,"United Kingdom","GBR",2021-02-09,0,0,0
"32",32,"United Kingdom","GBR",2021-02-10,0,0,0
"33",33,"United Kingdom","GBR",2021-02-11,0,0,0
"34",34,"United Kingdom","GBR",2021-02-12,0,0,0
"35",35,"United Kingdom","GBR",2021-02-13,0,0,0
"36",36,"United Kingdom","GBR",2021-02-14,0,0,0
"37",37,"United Kingdom","GBR",2021-02-15,0,0,0
"38",38,"United Kingdom","GBR",2021-02-16,0,0,0
"39",39,"United Kingdom","GBR",2021-02-17,0,0,0
"40",40,"United Kingdom","GBR",2021-02-18,0,0,0
"41",41,"United Kingdom","GBR",2021-02-19,0,0,0
"42",42,"United Kingdom","GBR",2021-02-20,0,0,0
"43",43,"United Kingdom","GBR",2021-02-21,0,0,0
"44",44,"United Kingdom","GBR",2021-02-22,0,0,0
"45",45,"United Kingdom","GBR",2021-02-23,0,0,0
"46",46,"United Kingdom","GBR",2021-02-24,0,0,0
"47",47,"United Kingdom","GBR",2021-02-25,0,0,0
"48",48,"United Kingdom","GBR",2021-02-26,0,0,0
"49",49,"United Kingdom","GBR",2021-02-27,0,0,0
"50",50,"United Kingdom","GBR",2021-02-28,0,0,0
"51",51,"United Kingdom","GBR",2021-03-01,0,0,0
"52",52,"United Kingdom","GBR",2021-03-02,0,0,0
"53",53,"United Kingdom","GBR",2021-03-03,0,0,0
"54",54,"United Kingdom","GBR",2021-03-04,0,0,0
"55",55,"United Kingdom","GBR",2021-03-05,0,0,0
"56",56,"United Kingdom","GBR",2021-03-06,0,0,0
"57",57,"United Kingdom","GBR",2021-03-07,0,0,0
"58",58,"United Kingdom","GBR",2021-03-08,0,0,0
"59",59,"United Kingdom","GBR",2021-03-09,0,0,0
"60",60,"United Kingdom","GBR",2021-03-10,0,0,0
"61",61,"United Kingdom","GBR",2021-03-11,0,0,0
"62",62,"United Kingdom","GBR",2021-03-12,0,0,0
"63",63,"United Kingdom","GBR",2021-03-13,0,0,0
"64",64,"United Kingdom","GBR",2021-03-14,0,0,0
"65",65,"United Kingdom","GBR",2021-03-15,0,0,0
"66",66,"United Kingdom","GBR",2021-03-16,0,0,0
"67",67,"United Kingdom","GBR",2021-03-17,0,0,0
"68",68,"United Kingdom","GBR",2021-03-18,0,0,0
"69",69,"United Kingdom","GBR",2021-03-19,0,0,0
"70",70,"United Kingdom","GBR",2021-03-20,0,0,0
"71",71,"United Kingdom","GBR",2021-03-21,0,0,0
"72",72,"United Kingdom","GBR",2021-03-22,0,0,0
"73",73,"United Kingdom","GBR",2021-03-23,0,0,0
"74",74,"United Kingdom","GBR",2021-03-24,0,0,0
"75",75,"United Kingdom","GBR",2021-03-25,0,0,0
"76",76,"United Kingdom","GBR",2021-03-26,0,0,0
"77",77,"United Kingdom","GBR",2021-03-27,0,0,0
"78",78,"United Kingdom","GBR",2021-03-28,0,0,0
"79",79,"United Kingdom","GBR",2021-03-29,0,0,0
"80",80,"United Kingdom","GBR",2021-03-30,0,0,0
"81",81,"United Kingdom","GBR",2021-03-31,0,0,0
"82",82,"United Kingdom","GBR",2021-04-01,0,0,0
"83",83,"United Kingdom","GBR",2021-04-02,0,0,0
"84",84,"United Kingdom","GBR",2021-04-03,0,0,0
"85",85,"United Kingdom","GBR",2021-04-04,0,0,0
"86",86,"United Kingdom","GBR",2021-04-05,0,0,0
"87",87,"United Kingdom","GBR",2021-04-06,0,0,0
"88",88,"United Kingdom","GBR",2021-04-07,0,0,0
"89",89,"United Kingdom","GBR",2021-04-08,0,0,0
"90",90,"United Kingdom","GBR",2021-04-09,0,0,0
"91",91,"United Kingdom","GBR",2021-04-10,0,0,0
"92",92,"United Kingdom","GBR",2021-04-11,0,0,0
"93",93,"United Kingdom","GBR",2021-04-12,0,0,0
"94",94,"United Kingdom","GBR",2021-04-13,0,0,0
"95",95,"United Kingdom","GBR",2021-04-14,0,0,0
"96",96,"United Kingdom","GBR",2021-04-15,0,0,0
"97",97,"United Kingdom","GBR",2021-04-16,0,0,0
"98",98,"United Kingdom","GBR",2021-04-17,0,0,0
"99",99,"United Kingdom","GBR",2021-04-18,0,0,0
"100",100,"United Kingdom","GBR",2021-04-19,0,0,0
"101",101,"United Kingdom","GBR",2021-04-20,0,0,0
"102",102,"United Kingdom","GBR",2021-04-21,0,0,0
"103",103,"United Kingdom","GBR",2021-04-22,0,0,0
"104",104,"United Kingdom","GBR",2021-04-23,0,0,0
"105",105,"United Kingdom","GBR",2021-04-24,0,0,0
"106",106,"United Kingdom","GBR",2021-04-25,0,0,0
"107",107,"United Kingdom","GBR",2021-04-26,0,0,0
"108",108,"United Kingdom","GBR",2021-04-27,0,0,0
"109",109,"United Kingdom","GBR",2021-04-28,0,0,0
"110",110,"United Kingdom","GBR",2021-04-29,0,0,0
"111",111,"United Kingdom","GBR",2021-04-30,0,0,0
"112",112,"United Kingdom","GBR",2021-05-01,0,0,0
"113",113,"United Kingdom","GBR",2021-05-02,0,0,0
"114",114,"United Kingdom","GBR",2021-05-03,0,0,0
"115",115,"United Kingdom","GBR",2021-05-04,0,0,0
"116",116,"United Kingdom","GBR",2021-05-05,0,0,0
"117",117,"United Kingdom","GBR",2021-05-06,0,0,0
"118",118,"United Kingdom","GBR",2021-05-07,0,0,0
"119",119,"United Kingdom","GBR",2021-05-08,0,0,0
"120",120,"United Kingdom","GBR",2021-05-09,0,0,0
"121",121,"United Kingdom","GBR",2021-05-10,0,0,0
"122",122,"United Kingdom","GBR",2021-05-11,0,0,0
"123",123,"United Kingdom","GBR",2021-05-12,0,0,0
"124",124,"United Kingdom","GBR",2021-05-13,0,0,0
"125",125,"United Kingdom","GBR",2021-05-14,0,0,0
"126",126,"United Kingdom","GBR",2021-05-15,0,0,0
"127",127,"United Kingdom","GBR",2021-05-16,0,0,0
"128",128,"United Kingdom","GBR",2021-05-17,0,0,0
"129",129,"United Kingdom","GBR",2021-05-18,0,0,0
"130",130,"United Kingdom","GBR",2021-05-19,0,0,0
"131",131,"United Kingdom","GBR",2021-05-20,0,0,0
"132",132,"United Kingdom","GBR",2021-05-21,0,0,0
"133",133,"United Kingdom","GBR",2021-05-22,0,0,0
"134",134,"United Kingdom","GBR",2021-05-23,0,0,0
"135",135,"United Kingdom","GBR",2021-05-24,0,0,0
"136",136,"United Kingdom","GBR",2021-05-25,0,0,0
"137",137,"United Kingdom","GBR",2021-05-26,0,0,0
"138",138,"United Kingdom","GBR",2021-05-27,0,0,0
"139",139,"United Kingdom","GBR",2021-05-28,0,0,0
"140",140,"United Kingdom","GBR",2021-05-29,0,0,0
"141",141,"United Kingdom","GBR",2021-05-30,0,0,0
"142",142,"United Kingdom","GBR",2021-05-31,0,0,0
"143",143,"United Kingdom","GBR",2021-06-01,0,0,0
"144",144,"United Kingdom","GBR",2021-06-02,0,0,0
"145",145,"United Kingdom","GBR",2021-06-03,0,0,0
"146",146,"United Kingdom","GBR",2021-06-04,0,0,0
"147",147,"United Kingdom","GBR",2021-06-05,0,0,0
"148",148,"United Kingdom","GBR",2021-06-06,0,0,0
"149",149,"United Kingdom","GBR",2021-06-07,0,0,0
"150",150,"United Kingdom","GBR",2021-06-08,0,0,0
"151",151,"United Kingdom","GBR",2021-06-09,0,0,0
"152",152,"United Kingdom","GBR",2021-06-10,0,0,0
"153",153,"United Kingdom","GBR",2021-06-11,0,0,0
"154",154,"United Kingdom","GBR",2021-06-12,0,0,0
"155",155,"United Kingdom","GBR",2021-06-13,0,0,0
"156",156,"United Kingdom","GBR",2021-06-14,0,0,0
"157",157,"United Kingdom","GBR",2021-06-15,0,0,0
"158",158,"United Kingdom","GBR",2021-06-16,0,0,0
"159",159,"United Kingdom","GBR",2021-06-17,0,0,0
"160",160,"United Kingdom","GBR",2021-06-18,0,0,0
"161",161,"United Kingdom","GBR",2021-06-19,0,0,0
"162",162,"United Kingdom","GBR",2021-06-20,0,0,0
"163",163,"United Kingdom","GBR",2021-06-21,0,0,0
"164",164,"United Kingdom","GBR",2021-06-22,0,0,0
"165",165,"United Kingdom","GBR",2021-06-23,0,0,0
"166",166,"United Kingdom","GBR",2021-06-24,0,0,0
"167",167,"United Kingdom","GBR",2021-06-25,0,0,0
"168",168,"United Kingdom","GBR",2021-06-26,0,0,0
"169",169,"United Kingdom","GBR",2021-06-27,0,0,0
"170",170,"United Kingdom","GBR",2021-06-28,0,0,0
"171",171,"United Kingdom","GBR",2021-06-29,0,0,0
"172",172,"United Kingdom","GBR",2021-06-30,0,0,0
"173",173,"United Kingdom","GBR",2021-07-01,0,0,0
"174",174,"United Kingdom","GBR",2021-07-02,0,0,0
"175",175,"United Kingdom","GBR",2021-07-03,0,0,0
"176",176,"United Kingdom","GBR",2021-07-04,0,0,0
"177",177,"United Kingdom","GBR",2021-07-05,0,0,0
