"","country","iso3c","date","first_doses","second_doses","third_doses"
"1","United Kingdom","GBR","2021-01-10",0,0,0
"2","United Kingdom","GBR","2021-01-11",145076,0,0
"3","United Kingdom","GBR","2021-01-12",176368,0,0
"4","United Kingdom","GBR","2021-01-13",210560,11208.6,0
"5","United Kingdom","GBR","2021-01-14",237094,7579,0
"6","United Kingdom","GBR","2021-01-15",257938,4813.79999999999,0
"7","United Kingdom","GBR","2021-01-16",264304,3777.79999999999,0
"8","United Kingdom","GBR","2021-01-17",253704,3478.20000000001,0
"9","United Kingdom","GBR","2021-01-18",262133,3318.79999999999,0
"10","United Kingdom","GBR","2021-01-19",281490,3346.79999999999,0
"11","United Kingdom","GBR","2021-01-20",293571,3263.20000000001,0
"12","United Kingdom","GBR","2021-01-21",306880,2558.79999999999,0
"13","United Kingdom","GBR","2021-01-22",326441,1970.60000000003,0
"14","United Kingdom","GBR","2021-01-23",354418,1682,0
"15","United Kingdom","GBR","2021-01-24",358724,1472,0
"16","United Kingdom","GBR","2021-01-25",369536,1573.59999999998,0
"17","United Kingdom","GBR","2021-01-26",364950,1718.79999999999,0
"18","United Kingdom","GBR","2021-01-27",357645,1990.79999999999,0
"19","United Kingdom","GBR","2021-01-28",358297,3721.40000000002,0
"20","United Kingdom","GBR","2021-01-29",359656,4010.59999999998,0
"21","United Kingdom","GBR","2021-01-30",374858,4062.20000000001,0
"22","United Kingdom","GBR","2021-01-31",388971,4141.60000000003,0
"23","United Kingdom","GBR","2021-02-01",399055,4305,0
"24","United Kingdom","GBR","2021-02-02",408155,2988,0
"25","United Kingdom","GBR","2021-02-03",430532,3169.59999999998,0
"26","United Kingdom","GBR","2021-02-04",439980,2984.59999999998,0
"27","United Kingdom","GBR","2021-02-05",440896,2723.80000000005,0
"28","United Kingdom","GBR","2021-02-06",433956,2887,0
"29","United Kingdom","GBR","2021-02-07",428234,2712,0
"30","United Kingdom","GBR","2021-02-08",428539,2878,0
"31","United Kingdom","GBR","2021-02-09",433832,3675,0
"32","United Kingdom","GBR","2021-02-10",431232,4457.59999999998,0
"33","United Kingdom","GBR","2021-02-11",434454,4264.59999999998,0
"34","United Kingdom","GBR","2021-02-12",441660,4015.40000000002,0
"35","United Kingdom","GBR","2021-02-13",435310,4343.59999999998,0
"36","United Kingdom","GBR","2021-02-14",429449,5696.59999999998,0
"37","United Kingdom","GBR","2021-02-15",418517,7771,0
"38","United Kingdom","GBR","2021-02-16",411811,10375.2000000001,0
"39","United Kingdom","GBR","2021-02-17",416282,13051,0
"40","United Kingdom","GBR","2021-02-18",409045,13796.6,0
"41","United Kingdom","GBR","2021-02-19",384374,13149.6,0
"42","United Kingdom","GBR","2021-02-20",359990,13812.8,0
"43","United Kingdom","GBR","2021-02-21",346241,15902.7999999999,0
"44","United Kingdom","GBR","2021-02-22",334296,19166.6000000001,0
"45","United Kingdom","GBR","2021-02-23",328843,24177.7999999999,0
"46","United Kingdom","GBR","2021-02-24",324108,28897,0
"47","United Kingdom","GBR","2021-02-25",328860,30668.8,0
"48","United Kingdom","GBR","2021-02-26",347801,29342.2,0
"49","United Kingdom","GBR","2021-02-27",358204,28676,0
"50","United Kingdom","GBR","2021-02-28",364516,31875,0
"51","United Kingdom","GBR","2021-03-01",366063,39010.4,0
"52","United Kingdom","GBR","2021-03-02",351535,47587.2,0
"53","United Kingdom","GBR","2021-03-03",327248,55004.8,0
"54","United Kingdom","GBR","2021-03-04",311609,55660.8,0
"55","United Kingdom","GBR","2021-03-05",302033,49446.2,0
"56","United Kingdom","GBR","2021-03-06",303366,43513.8,0
"57","United Kingdom","GBR","2021-03-07",300258,44057,0
"58","United Kingdom","GBR","2021-03-08",301987,52135,0
"59","United Kingdom","GBR","2021-03-09",300888,64535.2,0
"60","United Kingdom","GBR","2021-03-10",295878,78022.2,0
"61","United Kingdom","GBR","2021-03-11",279387,80695.6000000001,0
"62","United Kingdom","GBR","2021-03-12",269689,71185.3999999999,0
"63","United Kingdom","GBR","2021-03-13",283300,62426.2,0
"64","United Kingdom","GBR","2021-03-14",296567,62873.4000000001,0
"65","United Kingdom","GBR","2021-03-15",321054,69260,0
"66","United Kingdom","GBR","2021-03-16",351914,85232.2,0
