"","country","iso3c","date","first_doses","second_doses","third_doses"
"1","United Kingdom","GBR","2020-12-08",3842.9781512605,657.813445378151,0
"2","United Kingdom","GBR","2020-12-09",7685.95630252101,1315.6268907563,0
"3","United Kingdom","GBR","2020-12-10",11528.9344537815,1973.44033613445,0
"4","United Kingdom","GBR","2020-12-11",15371.912605042,2631.25378151261,0
"5","United Kingdom","GBR","2020-12-12",19214.8907563025,3289.06722689076,0
"6","United Kingdom","GBR","2020-12-13",23057.868907563,3946.88067226891,0
"7","United Kingdom","GBR","2020-12-14",26900.8470588235,4604.69411764706,0
"8","United Kingdom","GBR","2020-12-15",30743.825210084,5262.50756302521,0
"9","United Kingdom","GBR","2020-12-16",34586.8033613445,5920.32100840336,0
"10","United Kingdom","GBR","2020-12-17",38429.781512605,6578.13445378151,0
"11","United Kingdom","GBR","2020-12-18",42272.7596638655,7235.94789915966,0
"12","United Kingdom","GBR","2020-12-19",46115.737815126,7893.76134453782,0
"13","United Kingdom","GBR","2020-12-20",49958.7159663866,8551.57478991597,0
"14","United Kingdom","GBR","2020-12-21",53801.6941176471,9209.38823529412,0
"15","United Kingdom","GBR","2020-12-22",57644.6722689076,9867.20168067227,0
"16","United Kingdom","GBR","2020-12-23",61487.6504201681,10525.0151260504,0
"17","United Kingdom","GBR","2020-12-24",65330.6285714286,11182.8285714286,0
"18","United Kingdom","GBR","2020-12-25",69173.6067226891,11840.6420168067,0
"19","United Kingdom","GBR","2020-12-26",73016.5848739496,12498.4554621849,0
"20","United Kingdom","GBR","2020-12-27",76859.5630252101,13156.268907563,0
"21","United Kingdom","GBR","2020-12-28",80702.5411764706,13814.0823529412,0
"22","United Kingdom","GBR","2020-12-29",84545.5193277311,14471.8957983193,0
"23","United Kingdom","GBR","2020-12-30",88388.4974789916,15129.7092436975,0
"24","United Kingdom","GBR","2020-12-31",92231.4756302521,15787.5226890756,0
"25","United Kingdom","GBR","2021-01-01",96074.4537815126,16445.3361344538,0
"26","United Kingdom","GBR","2021-01-02",99917.4319327731,17103.1495798319,0
"27","United Kingdom","GBR","2021-01-03",103760.410084034,17760.9630252101,0
"28","United Kingdom","GBR","2021-01-04",107603.388235294,18418.7764705882,0
"29","United Kingdom","GBR","2021-01-05",111446.366386555,19076.5899159664,0
"30","United Kingdom","GBR","2021-01-06",115289.344537815,19734.4033613445,0
"31","United Kingdom","GBR","2021-01-07",119132.322689076,20392.2168067227,0
"32","United Kingdom","GBR","2021-01-08",122975.300840336,21050.0302521008,0
"33","United Kingdom","GBR","2021-01-09",126818.278991597,21707.843697479,0
"34","United Kingdom","GBR","2021-01-10",0,0,0
"35","United Kingdom","GBR","2021-01-10",130661.257142857,22365.6571428571,0
"36","United Kingdom","GBR","2021-01-11",145076,0,0
"37","United Kingdom","GBR","2021-01-12",176368,0,0
"38","United Kingdom","GBR","2021-01-13",210560,11208.6,0
"39","United Kingdom","GBR","2021-01-14",237094,7579,0
"40","United Kingdom","GBR","2021-01-15",257938,4813.79999999999,0
"41","United Kingdom","GBR","2021-01-16",264304,3777.79999999999,0
"42","United Kingdom","GBR","2021-01-17",253704,3478.20000000001,0
"43","United Kingdom","GBR","2021-01-18",262133,3318.79999999999,0
"44","United Kingdom","GBR","2021-01-19",281490,3346.79999999999,0
"45","United Kingdom","GBR","2021-01-20",293571,3263.20000000001,0
"46","United Kingdom","GBR","2021-01-21",306880,2558.79999999999,0
"47","United Kingdom","GBR","2021-01-22",326441,1970.60000000003,0
"48","United Kingdom","GBR","2021-01-23",354418,1682,0
"49","United Kingdom","GBR","2021-01-24",358724,1472,0
"50","United Kingdom","GBR","2021-01-25",369536,1573.59999999998,0
"51","United Kingdom","GBR","2021-01-26",364950,1718.79999999999,0
"52","United Kingdom","GBR","2021-01-27",357645,1990.79999999999,0
"53","United Kingdom","GBR","2021-01-28",358297,3721.40000000002,0
"54","United Kingdom","GBR","2021-01-29",359656,4010.59999999998,0
"55","United Kingdom","GBR","2021-01-30",374858,4062.20000000001,0
